Sites,Loop,05-08-2019,05-09-2019,05-10-2019,05-11-2019,05-12-2019,05-13-2019,05-14-2019,05-15-2019,05-16-2019,05-17-2019,05-18-2019,05-19-2019,05-20-2019,05-21-2019,05-22-2019,05-23-2019,05-24-2019,05-25-2019,05-26-2019,05-27-2019,05-28-2019,05-29-2019,05-30-2019,05-31-2019,06-01/2019,06-02/2019,06-03/2019,06-04/2019,06-05/2019,06-06/2019,06-07/2019,06-08/2019,06-09/2019,06-10-2019,06-11-2019,06-12-2019,06-13-2019,06-14-2019,06-15-2019,06-16-2019,06-17-2019,06-18-2019,06-19-2019,06-20-2019,06-21-2019,06-22-2019,06-23-2019,06-24-2019,06-25-2019,06-26-2019,06-27-2019,06-28-2019,06-29-2019,06-30-2019,07-01/2019,07-02/2019,07-03/2019,07-04/2019,07-05/2019,07-06/2019,07-07/2019,07-08/2019,07-09/2019,07-10-2019,07-11-2019,07-12-2019,07-13-2019,07-14-2019,07-15-2019,07-16-2019,07-17-2019,07-18-2019,07-19-2019,07-20-2019,07-21-2019,07-22-2019,07-23-2019,07-24-2019,07-25-2019,07-26-2019,07-27-2019,07-28-2019,07-29-2019,07-30-2019,07-31-2019,08-01/2019,08-02/2019,08-03/2019,08-04/2019,08-05/2019,08-06/2019,08-07/2019,08-08/2019,08-09/2019,08-10-2019,08-11-2019,08-12-2019,08-13-2019,08-14-2019,08-15-2019,08-16-2019,08-17-2019,08-18-2019,08-19-2019,08-20-2019,08-21-2019,08-22-2019,08-23-2019,08-24-2019,08-25-2019,08-26-2019,08-27-2019,08-28-2019,08-29-2019,08-30-2019,08-31-2019,09-01/2019,09-02/2019,09-03/2019,09-04/2019
A14 ,Bayside Loop A,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,A,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,A,A,A
A15 ,Bayside Loop A,X,X,X,X,A,X,X,A,A,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,A,X,X,X,X,A,A,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,A,X,X,A,A,A,A,X,X,X,X,A,A,A
A16 ,Bayside Loop A,A,A,X,X,A,A,A,A,X,X,X,A,A,A,X,X,X,X,X,X,A,A,A,X,X,X,A,A,A,A,X,X,A,A,A,A,A,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,A,X,X,A,A,A
A17 ,Bayside Loop A,A,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,A,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,A,X,X,A,A,A,A,X,X,A,A,A,A,X,X,X,X,A,A,A,A,X,X,X,A,A,A
A18 ,Bayside Loop A,A,A,X,X,X,X,A,A,A,X,X,X,X,X,X,A,X,X,X,X,A,A,A,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,A,A,A,A,A,X,X,A,A,X,A,A,X,X,A,A,A,A,X,X,X,X,A,A,A
A19 ,Bayside Loop A,A,X,X,X,X,X,A,A,A,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,A,A,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,A,A,A,A,A,X,X,A,A,X,X,X,A,X,X,X,X,X,X,X,X,A,A,A,A,X,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,A,X,X,A,A,A
A20 ,Bayside Loop A,X,X,X,X,A,X,X,A,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A
A21 ,Bayside Loop A,A,A,X,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,X,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,A,A,A,A,X,X,X,X,A,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,A,A,A,X,X,X,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,X,A,A,A
A22 ,Bayside Loop A,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,A,X,X,A,A,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,X,X,X,X
A23 ,Bayside Loop A,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,X,A,X,X,A,X,X,X,X,X,X,A,A,X,X,A,A,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,A,X,X,A,A,A
A24 ,Bayside Loop A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,A,X,X,X,A,A,A,A,A,X,X,X,X,X,X,X,X,X,X,A,A,A
B25 ,Bayside Loop B,A,A,X,X,A,A,A,X,X,X,X,A,A,A,X,X,X,X,X,A,A,A,A,X,X,A,A,A,X,X,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,A,X,X,X,X,X,X,X,A,A,X,X,X,X,A,A,X,X,X,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,X,A,A,A
B26 ,Bayside Loop B,A,A,X,X,A,A,A,A,A,X,X,A,A,X,X,A,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,A,A,X,X,X,A,A,A,A,A,X,X,X,X,X,X,X,A,X,X,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,X,A,A,A
B27 ,Bayside Loop B,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,A,A,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,A,X,X,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,X,X,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,A,X,X,X,A,A
B28 ,Bayside Loop B,A,A,X,X,A,A,A,A,A,X,X,X,X,X,X,A,X,X,X,A,A,A,X,X,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,A,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,A,A,A,A,X,X,A,X,X,X,A,X,X,X,A,A,A,X,X,X,A,A,A,A,A,A,X,A,A,A,A
B29 ,Bayside Loop B,A,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,A,A,A,A,X,X,A,X,X,X,A,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,A,A,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,X,X,A,A
B30 ,Bayside Loop B,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,A,X,X,X,A,A,A,A,X,X,X,A,A,A,A,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,A,A,A,X,X,X,X,A,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,X,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,X,A,A,A
B31 ,Bayside Loop B,X,A,X,X,X,X,X,A,A,X,X,A,A,A,A,X,X,X,X,A,A,A,A,X,X,A,X,X,X,X,X,X,A,A,A,A,X,X,X,A,A,A,A,A,X,X,X,X,A,A,X,X,X,X,A,A,A,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,A,A,A,A,X,X,X,A,A,A,A,A,A,X,X,A,A,A
B32 ,Bayside Loop B,A,A,X,X,A,A,A,A,A,X,X,X,X,X,X,A,X,X,X,A,A,A,A,X,X,A,A,A,A,A,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,A,X,X,X,X,A,A,A,A,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,A,X,X,A,A,X,X,X,X,X,A,A,A,A,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,A,A,A,A,A,X,X,X,A,A,A,A,A,X,X,A,A,A
B33 ,Bayside Loop B,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,A,A,A,A,X,X,A,X,X,A,A,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,A,A,X,X,X,X,A,A,X,X,X,A,A,A,A,A,X,X,A,X,X,A,A,X,X,X,X,A,A
B34 ,Bayside Loop B,W,W,W,W,W,W,W,W,W,W
B35 ,Bayside Loop B,X,X,X,X,X,X,A,X,A,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,A,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A
B36 ,Bayside Loop B,A,A,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,X,A,A,X,X,A,A,X,X,X,X,X,X,A,X,X,A,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,A,X,X,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,X,A,A,A
B37 ,Bayside Loop B,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,X,A,X,X,X,X,A,A,A,A,X,X,A,A,A,A,A,A,X,X,A,A,A
C38 ,Bayside Loop C,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,A,A,A,A,A,X,X,X,X,A,A
C39 ,Bayside Loop C,X,X,X,X,X,A,A,A,X,X,X,X,A,A,A,X,X,X,X,X,A,A,A,X,X,A,A,A,X,A,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,A,A,X,X,A,A,A,A,A,A,X,A,A,A,X,X,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,X,A,A,A
C40 ,Bayside Loop C,X,A,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,A,A,X,X,A,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,A,A,A,A,A,X,X,X,A,A,A,A,A,X,X,A,A,A,A,X,X,A,A,A,A,X,X,X,A,A,A,A,A,X,X,X,A,A,A
C41 ,Bayside Loop C,A,X,X,X,X,X,A,A,A,X,X,X,X,X,A,X,X,X,X,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,X,X,X,X,X,A,A,A,A,X,X,X,X,X,A,X,X,X,A,A,A,A,X,X,X,X,A,A,A,A,X,X,A,A,X,X,X,X,X,A,X,X,X,A,X,X,X,A,A,A,A,X,X,X,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,X,X,X,A,A,A,A,A,X,X,X,A,A,A
C42 ,Bayside Loop C,X,A,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,A,A,A,A,X,X,A,A,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,A,X,X,A,A,A,A,A,X,X,A,A,A,A,X,X,X,X,X,X,X,X,X,X,X,A,A,A
C43 ,Bayside Loop C,A,A,A,A,A,X,X,A,A,X,X,A,A,X,X,A,X,X,X,A,A,A,A,X,X,A,A,A,A,A,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,X,X,X,X,A,A,A,A,A,X,X,X,A,X,X
C44 ,Bayside Loop C,X,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,A,A,X,A,A,X,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,A,A,A,X,X,X,X,A,A,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,A,A,A,A,X,X,X,A,A,A,A,X,X,X,X,X,A,A
C45 ,Bayside Loop C,A,A,X,X,A,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,A,A,A,A,X,X,X,X,X,A,A
C46 ,Bayside Loop C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,A,A
C47 ,Bayside Loop C,A,A,X,X,A,A,X,X,A,X,X,A,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,A,A,A,A,X,X,X,X,X,A,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,A,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,A,A,A,A,A,X,X,X,X,X,X,X,A,X,A,A,A,A,A,X,X,X,X,X,X
C48 ,Bayside Loop C,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,A,A,A
C49 ,Bayside Loop C,A,A,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,X,X,A,X,X,X,X,A,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,A,A,A,X,X,A,A,A,A,A,X,X,A,A,A,A,A,A,X,A,A,A,A,A,X,X,X,X,X,X
G1 ,Oceanside Group Sites,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A
G2 ,Oceanside Group Sites,X,X,X,X,A,X,X,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A
G3 ,Oceanside Group Sites,A,X,X,X,A,A,A,A,A,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,X
G4 ,Oceanside Group Sites,A,A,X,X,A,A,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
G5 ,Oceanside Group Sites,A,X,X,X,X,X,A,A,A,X,X,X,X,X,X,X,X,X,X,X,X,A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,A,A,A,X,X,X,A,A,A
Horse Camp - A ,Equestrian Non-Electric,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Horse Camp - B ,Equestrian Non-Electric,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
